"dbn","boro","lat","lon","ontrack_year1_2013","graduation_rate_2013","college_career_rate_2013","student_satisfaction_2013","ontrack_year1_2012","graduation_rate_2012","college_career_rate_2012","student_satisfaction_2012"
"07X600","Bronx","40.81824688900048","-73.91973567799965","0.75","0.51","0.23","0.068","0.77","0.56","0.15","0.062"
"12X692","Bronx","40.83136649000045","-73.87882327699964","0.61","0.45","0.27","0.064","0.66","0.42","0.25","0.063"
"12X684","Bronx","40.84180522100047","-73.87541771299965","0.65","0.65","0.38","0.068","0.69","0.57","0.29","0.063"
"12X682","Bronx","40.83080715400047","-73.88602131599964","0.74","0.66","0.44","0.074","0.72","0.59","0.31","0.068"
"12X550","Bronx","40.83136649000045","-73.87882327699964","0.7","0.47","0.29","0.08","0.76","0.58","0.43","0.071"
"12X278","Bronx","40.82522606000049","-73.89394988899966","0.59","0.43","0.23","0.092","0.5","0.42","0.21","0.087"
"12X271","Bronx","40.83695342600049","-73.88796175799968","0.77","0.7","0.46","0.075","0.72","0.75","0.42","0.069"
"12X267","Bronx","40.82776397900045","-73.90038681299967","0.87","0.73","0.63","0.086","0.81","0.77","0.7","0.088"
"12X251","Bronx","40.835937328000455","-73.89046769299966","0.78","0.55","0.41","0.075","0.68","0.63","0.42","0.069"
"12X248","Bronx","40.82522606000049","-73.89394988899966","0.77","0.71","0.42","0.076","0.87","0.75","0.53","0.072"
"11X545","Bronx","40.87575421100047","-73.86138783399963","0.66","0.74","0.58","0.061","0.76","0.75","0.56","0.059"
"11X544","Bronx","40.87575421100047","-73.86138783399963","0.83","0.71","0.57","0.066","0.8","0.72","0.49","0.064"
"11X542","Bronx","40.85969831600045","-73.86074140399967","0.81","0.95","0.83","0.074","0.79","0.91","0.83","0.07"
"11X514","Bronx","40.887919214000476","-73.85287161399964","0.74","0.57","0.24","0.071","0.7","0.5","0.28","0.065"
"11X513","Bronx","40.887919214000476","-73.85287161399964","0.85","0.84","0.57","0.077","0.91","0.74","0.5","0.071"
"11X455","Bronx","40.87413179800046","-73.83380451299968","0.67","0.58","0.34","0.071","0.61","0.65","0.32","0.067"
"11X418","Bronx","40.851433485000484","-73.86501795899966","0.66","0.58","0.35","0.075","0.57","0.62","0.37","0.063"
"11X299","Bronx","40.85969831600045","-73.86074140399967","0.8","0.63","0.45","0.063","0.82","0.69","0.41","0.062"
"11X290","Bronx","40.87575421100047","-73.86138783399963","0.76","0.66","0.67","0.066","0.78","0.74","0.62","0.059"
"11X288","Bronx","40.85969831600045","-73.86074140399967","0.77","0.89","0.81","0.078","0.82","0.9","0.61","0.073"
"11X275","Bronx","40.87575421100047","-73.86138783399963","0.86","0.85","0.67","0.078","0.89","0.82","0.52","0.069"
"11X270","Bronx","40.887919214000476","-73.85287161399964","0.8","0.74","0.34","0.066","0.81","0.7","0.41","0.059"
"11X265","Bronx","40.87575421100047","-73.86138783399963","0.81","0.66","0.39","0.068","0.87","0.58","0.42","0.066"
"11X253","Bronx","40.87575421100047","-73.86138783399963","0.81","0.54","0.27","0.072","0.71","0.57","0.33","0.065"
"11X249","Bronx","40.87413179800046","-73.83380451299968","0.78","0.98","0.67","0.063","0.8","0.97","0.74","0.064"
"10X696","Bronx","40.8712553740005","-73.89751620399966","0.98","1","0.99","0.081","1","1","0.99","0.079"
"10X549","Bronx","40.87037746700048","-73.89816295199967","0.76","0.57","0.37","0.069","0.75","0.54","0.45","0.066"
"10X546","Bronx","40.87704944300049","-73.91233659899967","0.74","0.74","0.5","0.083","0.71","0.73","0.41","0.067"
"10X477","Bronx","40.87704944300049","-73.91233659899967","0.92","0.9","0.74","0.077","0.93","0.92","0.63","0.071"
"10X445","Bronx","40.87705636800047","-73.88978035099967","1","1","1","0.074","1","1","1","0.069"
"10X442","Bronx","40.87037746700048","-73.89816295199967","0.78","0.87","0.54","0.072","0.78","0.82","0.62","0.067"
"10X440","Bronx","40.88008184000046","-73.88590153299964","0.53","0.55","0.34","0.063","0.51","0.5","0.4","0.058"
"10X439","Bronx","40.86001222100049","-73.88822960399966","0.78","0.68","0.45","0.074","0.61","0.59","0.3","0.066"
"10X438","Bronx","40.86001222100049","-73.88822960399966","0.78","0.38","0.31","0.07","0.69","0.53","0.38","0.056"
